id,producto_base,foto_principal,fotos_adicionales,image_link,additional_image_link,title,description,price,link,brand,availability,condition,item_group_id,color,size
008-055,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 5.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,5.5
008-060,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 6","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,6
008-065,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 6.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,6.5
008-070,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 7","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,7
008-075,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 7.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,7.5
008-080,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 8","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,8
008-085,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 8.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,8.5
008-090,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 9","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,9
008-095,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 9.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,9.5
008-100,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 10","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,10
008-105,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 10.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,10.5
008-110,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg","Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 11","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,Forza WorkGear,in stock,new,008,Café,11
009,15,15.jpg,15.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/15.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/15.1.jpg,Barredor magnético de mano Zeluga recoge clavos,"🧲 Barredor magnético de mano — levanta el clavo antes de que levante tu llanta

Barra magnética con mango largo y empuñadura cómoda que jala clavos, tornillos, grapas y rebaba metálica del piso sin que tengas que agacharte. Estructura de acero pintada en naranja de alta visibilidad.

✅ Imán de alta potencia
✅ Mango largo, cero agacharse
✅ Estructura de acero
✅ Acabado naranja de alta visibilidad
✅ Libera el metal con solo levantarlo

Limpia obras, talleres y estacionamientos en minutos. 💪",55.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/009.html,Forza WorkGear,in stock,new,,,
010,19,19.1.jpg,"19.2.jpg, 19.3.jpg, 19.4.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.1.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.3.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.4.jpg",Cinturón portaherramientas camuflaje Zeluga con tirantes,"🧰 Cinturón portaherramientas camuflaje Zeluga — el set completo, listo para la obra

Cinturón acolchado con ojales metálicos, dos bolsas multibolsillo, porta celular y porta martillo, más tirantes acolchados desmontables con clips metálicos que pasan el peso de la cintura a los hombros.

✅ Tela camuflaje resistente
✅ Tirantes acolchados desmontables
✅ Dos bolsas multibolsillo
✅ Porta celular y porta martillo
✅ Cinturón acolchado ajustable

Menos dolor de espalda al final del día. 💪",135.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/010.html,Forza WorkGear,in stock,new,,,
011,21,21.jpg,21.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/21.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/21.1.jpg,Marro Zeluga de 16 libras con mango de madera de 36 pulgadas,"🔨 Marro Zeluga de 16 libras — para lo que no cede con nada más

Cabeza forjada de 16 libras montada en mango de madera de 36 pulgadas con cuña de sujeción reforzada, para que la cabeza no se afloje golpe tras golpe. Cara tratada para resistir el impacto sin astillarse.

✅ Cabeza forjada de 16 libras
✅ Mango de madera de 36 pulgadas
✅ Cuña de sujeción reforzada
✅ Cara tratada contra astillado
✅ Balance para golpe largo

Para demolición, estacas, concreto y trabajo pesado. 💪",65.00 USD,,Forza WorkGear,in stock,new,,,
012,25,25.jpg,25.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/25.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/25.1.jpg,"Rodilleras de trabajo Zeluga de concha dura, naranja","🦵 Rodilleras de concha dura Zeluga — protección real, no un cojín

Concha exterior rígida y antiderrapante que reparte el peso y no se entierra en el piso, con acolchado interior de alta densidad y correas elásticas ajustables con broche rápido.

✅ Concha exterior rígida
✅ Superficie antiderrapante
✅ Acolchado de alta densidad
✅ Correas elásticas con broche rápido
✅ Se ponen y quitan en segundos

Para instalar piso, teja, plomería o tablaroca. 💪",35.00 USD,,Forza WorkGear,in stock,new,,,
013-azul,28,28.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/28.jpg,,"Tirantes acolchados Zeluga para cinturón de herramientas, azul","💪 Tirantes acolchados Zeluga en azul — quítale el peso a tu cintura

Hombreras anchas acolchadas con malla transpirable y correas totalmente ajustables. Los ganchos metálicos se conectan a prácticamente cualquier cinturón portaherramientas que ya tengas.

✅ Hombreras acolchadas y transpirables
✅ Correas ajustables a tu medida
✅ Ganchos metálicos reforzados
✅ Compatibles con cinturones estándar
✅ Se ajustan a cualquier estatura

Color azul. Si cargas herramienta todo el día, esto es lo primero que deberías comprar. 💪",40.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/013.html,Forza WorkGear,in stock,new,013,Azul,
