id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,item_group_id,color,size,identifier_exists
008-070,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 7","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,7,no
008-075,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 7.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,7.5,no
008-080,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 8","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,8,no
008-085,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 8.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,8.5,no
008-090,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 9","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,9,no
008-095,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 9.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,9.5,no
008-100,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 10","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,10,no
008-105,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 10.5","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,10.5,no
008-110,"Bota de trabajo Rhino 90M07 de cuero curtido al aceite, café, talla 11","🥾 Bota de trabajo Rhino 90M07 — te la pones y a trabajar

Bota sin agujetas de corte alto en cuero curtido al aceite, con suela cosida tipo Goodyear, la que permite resolear la bota en vez de tirarla. Plantilla acolchada y suela resistente al aceite.

✅ Cuero curtido al aceite
✅ Suela cosida tipo Goodyear
✅ Suela resistente al aceite
✅ Plantilla acolchada
✅ Se calza y se quita en segundos

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para obra, rancho y trabajo pesado diario. 💪",in stock,new,110.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/008.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",Forza WorkGear,008,Café,11,no
009,Barredor magnético de mano Zeluga recoge clavos,"🧲 Barredor magnético de mano — levanta el clavo antes de que levante tu llanta

Barra magnética con mango largo y empuñadura cómoda que jala clavos, tornillos, grapas y rebaba metálica del piso sin que tengas que agacharte. Estructura de acero pintada en naranja de alta visibilidad.

✅ Imán de alta potencia
✅ Mango largo, cero agacharse
✅ Estructura de acero
✅ Acabado naranja de alta visibilidad
✅ Libera el metal con solo levantarlo

Limpia obras, talleres y estacionamientos en minutos. 💪",in stock,new,55.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/009.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/15.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/15.1.jpg,Forza WorkGear,,,,no
010,Cinturón portaherramientas camuflaje Zeluga con tirantes,"🧰 Cinturón portaherramientas camuflaje Zeluga — el set completo, listo para la obra

Cinturón acolchado con ojales metálicos, dos bolsas multibolsillo, porta celular y porta martillo, más tirantes acolchados desmontables con clips metálicos que pasan el peso de la cintura a los hombros.

✅ Tela camuflaje resistente
✅ Tirantes acolchados desmontables
✅ Dos bolsas multibolsillo
✅ Porta celular y porta martillo
✅ Cinturón acolchado ajustable

Menos dolor de espalda al final del día. 💪",in stock,new,135.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/010.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.1.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.3.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.4.jpg",Forza WorkGear,,,,no
013-azul,"Tirantes acolchados Zeluga para cinturón de herramientas, azul","💪 Tirantes acolchados Zeluga en azul — quítale el peso a tu cintura

Hombreras anchas acolchadas con malla transpirable y correas totalmente ajustables. Los ganchos metálicos se conectan a prácticamente cualquier cinturón portaherramientas que ya tengas.

✅ Hombreras acolchadas y transpirables
✅ Correas ajustables a tu medida
✅ Ganchos metálicos reforzados
✅ Compatibles con cinturones estándar
✅ Se ajustan a cualquier estatura

Color azul. Si cargas herramienta todo el día, esto es lo primero que deberías comprar. 💪",in stock,new,40.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/013.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/28.jpg,,Forza WorkGear,013,Azul,,no
013-rojo,"Tirantes acolchados Zeluga para cinturón de herramientas, rojo","💪 Tirantes acolchados Zeluga en rojo — quítale el peso a tu cintura

Hombreras anchas acolchadas con malla transpirable y correas totalmente ajustables. Los ganchos metálicos se conectan a prácticamente cualquier cinturón portaherramientas que ya tengas.

✅ Hombreras acolchadas y transpirables
✅ Correas ajustables a tu medida
✅ Ganchos metálicos reforzados
✅ Compatibles con cinturones estándar
✅ Se ajustan a cualquier estatura

Color rojo. Si cargas herramienta todo el día, esto es lo primero que deberías comprar. 💪",in stock,new,40.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/013.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/28.1.jpg,,Forza WorkGear,013,Rojo,,no
013-naranja,"Tirantes acolchados Zeluga para cinturón de herramientas, naranja","💪 Tirantes acolchados Zeluga en naranja — quítale el peso a tu cintura

Hombreras anchas acolchadas con malla transpirable y correas totalmente ajustables. Los ganchos metálicos se conectan a prácticamente cualquier cinturón portaherramientas que ya tengas.

✅ Hombreras acolchadas y transpirables
✅ Correas ajustables a tu medida
✅ Ganchos metálicos reforzados
✅ Compatibles con cinturones estándar
✅ Naranja de alta visibilidad

Color naranja. Si cargas herramienta todo el día, esto es lo primero que deberías comprar. 💪",in stock,new,40.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/013.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/28.2.jpg,,Forza WorkGear,013,Naranja,,no
013-negro,"Tirantes acolchados Zeluga para cinturón de herramientas, negro","💪 Tirantes acolchados Zeluga en negro — quítale el peso a tu cintura

Hombreras anchas acolchadas con malla transpirable y correas totalmente ajustables. Los ganchos metálicos se conectan a prácticamente cualquier cinturón portaherramientas que ya tengas.

✅ Hombreras acolchadas y transpirables
✅ Correas ajustables a tu medida
✅ Hebillas metálicas de ajuste rápido
✅ Compatibles con cinturones estándar
✅ Se ajustan a cualquier estatura

Color negro. Si cargas herramienta todo el día, esto es lo primero que deberías comprar. 💪",in stock,new,40.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/013.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/28.3.jpg,,Forza WorkGear,013,Negro,,no
015,"Manguera de aire Zeluga Z-Lite 1/4 x 100 pies, naranja","💨 Manguera de aire Z-Lite 1/4 x 100 pies — la mitad del peso, el doble de comodidad

Poliuretano modelo 21-342 con trenzado interno reforzado y chaqueta exterior. Pesa muchísimo menos que una manguera de hule, así que la arrastras por toda la obra sin cansarte. Conexiones incluidas.

✅ 1/4 de pulgada por 100 pies
✅ Poliuretano ultraligero
✅ Trenzado interno reforzado
✅ Conexiones reusables y reparables en obra
✅ Estabilizada contra rayos UV

Color naranja de alta visibilidad, para que nadie se tropiece. 💪",in stock,new,45.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/015.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/32.jpg,,Forza WorkGear,,,,no
017,Set de cinturón portaherramientas Zeluga en lona verde y cuero,"🧰 Set de cinturón portaherramientas Zeluga 89-222 — lona resistente con refuerzo de cuero

Dos bolsas en lona de alta resistencia color verde, ribeteadas y reforzadas con cuero en las esquinas y la boca, más porta martillo, porta cinta métrica y cinturón de cuero 100% genuino con doble hebilla.

✅ Lona de alta resistencia
✅ Refuerzos y ribete de cuero
✅ Cinturón de cuero 100% genuino
✅ Doble hebilla ajustable
✅ Costura doble en puntos de tensión

Ligero como lona, duradero como cuero. 💪",in stock,new,189.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/017.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/36.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/36.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/36.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/36.3.jpg",Forza WorkGear,,,,no
018-050,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 5","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,5,no
